34,39,34,34,2,7,2,5,2024-08-10 21:01:40
34,39,34,34,1,8,2,5,2024-08-10 20:59:15
0,0,0,34,0,0,0,3,2024-08-10 20:58:37
34,39,34,39,1,8,2,7,2024-08-10 20:49:30
0,39,0,34,0,6,0,3,2024-08-10 20:48:14
0,39,34,34,0,6,1,3,2024-08-10 20:47:08
34,39,34,39,2,6,1,6,2024-08-10 20:44:45
0,39,34,34,0,6,1,3,2024-08-10 20:42:55
0,39,34,34,0,6,1,3,2024-08-10 20:38:16
39,39,34,39,12,10,2,11,2024-08-09 16:06:44
0,0,39,39,0,0,9,12,2024-08-09 16:05:24
39,39,0,0,10,7,0,0,2024-08-09 16:04:04
0,0,39,34,0,0,6,5,2024-08-09 16:02:50
0,34,0,0,0,1,0,0,2024-08-09 16:02:15
34,34,34,39,1,4,4,12,2024-08-09 15:59:47
34,39,39,0,2,11,7,0,2024-08-09 15:57:53
39,39,0,39,11,6,0,9,2024-08-09 15:55:55
0,39,34,0,0,11,5,0,2024-08-09 15:54:40
34,0,0,0,3,0,0,0,2024-08-09 15:54:04
0,39,0,0,0,6,0,0,2024-08-09 15:53:06
39,39,39,34,11,12,10,3,2024-08-09 15:50:33
0,39,34,34,0,9,4,3,2024-08-09 15:48:45
34,0,0,0,4,0,0,0,2024-08-09 15:48:16
39,39,39,39,6,7,8,8,2024-08-09 13:42:06
39,39,34,0,7,6,3,0,2024-08-09 13:40:12
0,39,39,39,0,8,9,6,2024-08-09 13:38:13
34,0,0,0,4,0,0,0,2024-08-09 13:37:37
34,0,0,0,1,0,0,0,2024-08-09 13:37:07
0,39,34,39,0,8,4,13,2024-08-08 21:07:14
34,0,0,0,1,0,0,0,2024-08-08 21:06:38
39,39,39,34,7,11,6,5,2024-08-08 21:04:01
0,34,0,0,0,4,0,0,2024-08-08 21:03:25
0,39,0,0,0,10,0,0,2024-08-08 21:01:04
34,39,34,39,5,7,4,6,2024-08-08 20:58:36
0,34,0,0,0,1,0,0,2024-08-08 20:58:00
0,0,0,34,0,0,0,1,2024-08-08 20:57:11
0,0,0,34,0,0,0,3,2024-08-08 20:55:40
0,34,0,0,0,1,0,0,2024-08-08 20:55:04
34,34,0,34,5,5,0,5,2024-08-08 20:52:58
0,0,34,0,0,0,4,0,2024-08-08 20:52:22
34,39,39,39,5,8,7,9,2024-08-08 20:49:26
0,0,0,34,0,0,0,5,2024-08-08 20:48:50
0,0,0,34,0,0,0,2,2024-08-08 20:47:58
0,0,0,34,0,0,0,2,2024-08-08 20:47:22
0,0,34,39,0,-8,3,8,2024-08-08 20:43:44
0,34,0,0,-4,3,0,0,2024-08-08 20:43:08
34,34,34,0,1,2,4,0,2024-08-08 20:38:59
0,0,39,34,0,0,12,5,2024-08-08 20:37:44
34,34,39,39,4,5,10,7,2024-08-08 20:35:15
0,0,34,0,0,0,3,0,2024-08-08 20:34:38
34,0,0,0,3,0,0,0,2024-08-08 20:31:52
34,0,34,34,5,0,5,5,2024-08-08 20:27:49
0,34,0,0,0,3,0,0,2024-08-08 20:27:12
0,34,34,34,0,5,5,5,2024-08-08 20:15:23
34,0,0,0,2,0,0,0,2024-08-08 20:14:45
0,34,34,39,0,5,5,7,2024-08-08 20:11:46
34,0,0,0,4,0,0,0,2024-08-08 20:11:09
34,39,34,39,5,6,5,10,2024-08-08 19:58:08
34,0,34,34,5,0,4,5,2024-08-08 19:56:24
0,34,0,0,0,2,0,0,2024-08-08 19:55:47
34,34,39,34,3,2,8,2,2024-08-08 19:51:10
39,39,39,34,7,8,7,4,2024-08-08 19:48:37
34,34,34,34,4,4,4,5,2024-08-08 19:46:19
0,34,34,39,0,2,4,8,2024-08-08 19:44:30
34,34,39,39,4,4,6,8,2024-08-08 19:42:02
0,0,34,0,0,0,3,0,2024-08-08 19:41:26
34,34,34,34,3,3,4,4,2024-08-08 19:37:00
0,34,0,0,0,3,0,0,2024-08-08 19:36:24
34,34,34,0,5,4,4,0,2024-08-08 19:32:38
0,0,0,34,0,0,0,2,2024-08-08 19:32:00
39,34,39,34,8,5,7,4,2024-08-08 17:20:13
0,39,0,0,0,8,0,0,2024-08-08 17:19:31
39,0,39,39,7,0,7,6,2024-08-08 17:17:31
0,34,34,34,0,3,5,5,2024-08-08 17:15:47
34,0,0,0,3,0,0,0,2024-08-08 17:15:10
34,0,34,34,4,0,3,2,2024-08-08 17:11:42
0,34,0,0,0,4,0,0,2024-08-08 17:09:27
30,35,30,30,2,6,4,3,2024-08-08 17:04:06
30,0,0,0,2,0,0,0,2024-08-08 17:03:34
35,30,35,30,8,3,9,3,2024-08-08 16:10:56
0,35,0,0,0,6,0,0,2024-08-08 16:10:19
0,30,0,0,0,1,0,0,2024-08-08 16:05:52
0,0,30,0,0,0,4,0,2024-08-08 16:00:47
30,0,0,0,4,0,0,0,2024-08-08 15:58:13
0,30,35,35,0,3,6,9,2024-08-07 16:44:35
30,0,0,0,3,0,0,0,2024-08-07 16:44:03
0,0,30,0,0,0,2,0,2024-08-07 16:33:14
30,30,35,35,5,3,8,7,2024-08-07 16:02:11
35,30,30,30,11,2,2,3,2024-08-07 16:00:04
30,0,0,0,2,0,0,0,2024-08-07 15:59:32
